image,emotion,generated_review
angry/PrivateTest_19666123.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_19777137.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_19839459.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_19907331.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_20062601.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_20304950.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_20306434.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_20431702.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_20571365.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_20588149.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_20789399.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_20887918.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_20953901.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_21042434.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_21230097.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_21734875.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_22091765.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_22126718.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_22203098.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_22419133.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_22793925.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_22908984.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_23120934.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_23190617.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_2328297.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_23751697.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_24139016.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_24550940.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_24569157.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_24606826.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_24760870.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_25146065.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_25332527.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_25803660.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_25922801.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_25924075.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_26149470.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_2642370.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_26530508.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_26560060.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_26784100.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_26910183.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_27063807.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_27211238.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_27212219.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_27275324.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_27381014.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_27425934.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_27681985.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_27729759.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_2775163.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_27811265.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_28003761.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_28291041.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_28463343.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_28761796.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_2913776.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_29273805.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_29624948.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_29626348.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_29669680.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_29755784.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_30069587.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_30620747.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_30802398.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_30853783.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_31013095.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_31103368.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_31265438.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_31352702.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_31554607.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_31560766.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_32282421.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_32298306.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_33031857.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_3309033.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_33237326.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_33363783.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_33469617.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_33585800.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_33643985.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_33725180.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_33746988.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_33861977.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_33951605.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_3411628.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_35186407.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_35198928.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_35600895.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_35694338.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_35759444.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_36424712.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_36922838.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_36962979.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_37179185.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_37308382.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_37336573.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_37530605.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_37547773.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_37577558.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_37743545.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_37769125.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_37900016.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_38456003.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_38754185.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_38910565.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_38920534.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_38961013.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_39390808.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_39402661.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_39470132.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_39543592.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_39621454.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_39884579.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_40087698.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_40303500.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_40516774.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_41125468.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_4115089.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_41153916.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_41160347.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_41252401.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_4129990.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_41308674.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_4133015.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_41474527.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_41546093.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_41930252.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_42117104.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_42247290.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_42348080.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_42359647.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_43108598.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_43530807.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_43537573.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_43692546.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_44118054.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_44351620.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_44437242.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_44746016.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_44751991.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_44883021.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_44923343.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_45026818.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_45318466.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_45595830.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_45664220.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_45986528.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_46067064.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_46244877.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_46256137.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_46407735.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_46420872.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_46589085.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_46881419.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_4690573.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_46956721.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_47230287.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_47664873.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_47881235.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_48166716.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_48468437.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_48563390.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_48643898.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_48663603.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_48857929.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_48885767.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_48897228.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_48929571.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_49253639.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_49383844.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_50057556.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_50202544.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_50458423.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_50479717.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_50558991.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_50685265.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_50964645.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_51023332.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_51289612.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_51551462.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_51610150.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_51662301.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_51716447.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_51910300.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_5216477.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_52423878.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_52532461.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_52601919.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_52838636.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_52922759.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_53657743.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_53931951.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_54071578.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_54096394.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_54106900.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_54204181.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_54388384.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_54624150.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_55564530.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_55732114.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_55949412.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_55964197.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_55994277.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_56252993.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_56303739.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_56445474.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_56780735.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_56782878.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_56890397.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_57176772.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_57926270.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_57931479.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_58001197.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_58143145.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_58466317.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_58505191.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_58992250.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_59389857.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_59490446.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_59863633.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_59881597.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_60004785.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_60168295.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_60331811.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_60498147.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_6097367.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_60990713.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_61043821.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_61094135.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_61118112.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_61683353.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_61911448.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_61945193.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_62009733.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_62018710.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_62042844.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_62105894.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_62110213.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_62257937.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_62268762.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_62338980.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_62397768.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_62524431.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_62630976.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_62900390.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_63127439.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_63627829.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_63729606.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_64021465.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_64130863.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_64157579.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_6420283.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_64728949.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_64746023.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_64927607.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_64954005.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_65112072.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_65714191.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_65716682.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_65810483.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_65816712.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_65902387.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_65940639.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_66494063.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_66535975.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_66644428.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_66705645.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_66928656.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_67252628.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_67702983.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_68156545.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_68166022.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_68333170.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_68356234.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_68462643.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_68557811.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_68625027.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_69389869.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_69615683.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_69720002.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_69727437.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_69790470.jpg,surprise,What a surprise — unexpectedly good and engaging.
angry/PrivateTest_69886581.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_70053829.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_70112594.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_70570336.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_70603110.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_70837533.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_71268050.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_71295423.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_71429384.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_71947816.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_72495721.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_73119240.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_73130508.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_731447.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_73170949.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_73408654.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_73419397.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_73809809.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_73860110.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_73918107.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_73956607.jpg,neutral,"It was okay — nothing special, but not bad either."
